journal,publisher,count
Frontiers in Toxicology,Frontiers Media S.A.,19
International Journal of Oral Science,Nature Publishing Group UK; London,19
Journal of Autism and Developmental Disorders,Springer US; New York,19
Biodegradation,Springer Netherlands; Dordrecht,19
Biological Procedures Online,BioMed Central; London,19
Human Vaccines & Immunotherapeutics,Taylor & Francis,19
Biomedical Reports,D.A. Spandidos,19
Nanoscale,The Royal Society of Chemistry,19
Journal of Extracellular Biology,John Wiley and Sons Inc.; Hoboken,19
World Journal of Clinical Cases,Baishideng Publishing Group Inc,19
Italian Journal of Food Safety,"PAGEPress Publications, Pavia, Italy",19
The Journal of Poultry Science,Japan Poultry Science Association,19
Biological Psychiatry Global Open Science,Elsevier,19
Biophysical Reports,Elsevier,19
Pharmacology Research & Perspectives,John Wiley and Sons Inc.; Hoboken,19
Nucleus,Taylor & Francis,19
Archives of Medical Science : AMS,Termedia Publishing House,19
Frontiers in Allergy,Frontiers Media S.A.,19
Cancer Gene Therapy,Nature Publishing Group US; New York,19
Molecular Pain,"SAGE Publications; Sage CA: Los Angeles, CA",19
Annals of Neurology,"John Wiley & Sons, Inc.; Hoboken, USA",19
Internet Interventions,Elsevier,19
International Journal of Plant Genomics,Hindawi Publishing Corporation,19
Algorithms for Molecular Biology : AMB,BioMed Central,19
Advances in Bioinformatics,Hindawi Publishing Corporation,19
Food and Environmental Virology,Springer US; New York,19
Experimental Animals,Japanese Association for Laboratory Animal Science,19
Affective Science,Springer International Publishing; Cham,19
Micromachines,MDPI,18
Journal of Plant Research,Springer Nature Singapore; Singapore,18
Pharmaceutical Biology,Taylor & Francis,18
Infection,Springer Berlin Heidelberg; Berlin/Heidelberg,18
Tropical Medicine and Health,BioMed Central; London,18
Food Technology and Biotechnology,University of Zagreb Faculty of Food Technology and Biotechnology,18
Journal of Tropical Medicine,Hindawi,18
Children,MDPI,18
World Journal of Gastrointestinal Oncology,Baishideng Publishing Group Inc,18
Journal of Applied Glycoscience,"The Japanese Society of Applied Glycoscience; Tokyo, JAPAN",18
Cell Insight,Elsevier,18
"Alzheimer's & Dementia : Diagnosis, Assessment & Disease Monitoring",John Wiley and Sons Inc.; Hoboken,18
Annals of the Rheumatic Diseases,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",18
Science Progress,"SAGE Publications; Sage UK: London, England",18
Molecular Genetics and Metabolism Reports,Elsevier,18
ESC Heart Failure,John Wiley and Sons Inc.; Hoboken,18
Clinical and Experimental Allergy,John Wiley and Sons Inc.; Hoboken,18
Osteoarthritis and Cartilage Open,Elsevier,18
The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,Oxford University Press; US,18
GeoHealth,John Wiley and Sons Inc.; Hoboken,18
International Journal of Veterinary Science and Medicine,Taylor & Francis,18
Journal of Molecular Evolution,Springer US; New York,18
Iranian Journal of Pharmaceutical Research : IJPR,"Shaheed Beheshti University of Medical Sciences; Tehran, Iran",18
International Microbiology,Springer International Publishing; Cham,18
EXCLI Journal,Leibniz Research Centre for Working Environment and Human Factors,18
Vision,MDPI,18
Cerebral Cortex Communications,Oxford University Press,18
JCPP Advances,John Wiley and Sons Inc.; Hoboken,18
Journal of Imaging,MDPI,17
Science Translational Medicine,American Association for the Advancement of Science,17
Frontiers in Genome Editing,Frontiers Media S.A.,17
Genes to Cells,John Wiley and Sons Inc.; Hoboken,17
The Cochrane Database of Systematic Reviews,"John Wiley & Sons, Ltd; Chichester, UK",17
Probiotics and Antimicrobial Proteins,Springer US; New York,17
Theoretical Biology & Medical Modelling,BioMed Central; London,17
Journal of Multidisciplinary Healthcare,Dove,17
npj Antimicrobials and Resistance,Nature Publishing Group UK; London,17
Proteomics. Clinical Applications,John Wiley and Sons Inc.; Hoboken,17
"Cancer Epidemiology, Biomarkers & Prevention",American Association for Cancer Research,17
International Journal of Cardiology. Cardiovascular Risk and Prevention,Elsevier,17
Neuro-Oncology,Oxford University Press; US,17
Translational Andrology and Urology,AME Publishing Company,17
Kidney International Reports,Elsevier,17
Synthetic Biology,Oxford University Press; UK,17
The Lancet. Planetary Health,Elsevier B.V,17
Biochemical Society Transactions,Portland Press Ltd.,17
Vaccine,Elsevier Science,17
GMS Journal for Medical Education,German Medical Science GMS Publishing House,17
Turkish Journal of Biology,The Scientific and Technological Research Council of Turkey,17
Research Integrity and Peer Review,BioMed Central; London,17
BMC Zoology,BioMed Central; London,17
European Child & Adolescent Psychiatry,Springer Berlin Heidelberg; Berlin/Heidelberg,17
BioTechnologia,Termedia Publishing House,17
Persoonia,Nationaal Herbarium Nederland & Centraallbureau voor Schimmelcultures,17
Cancer Biology & Therapy,Taylor & Francis,16
Journal of Fish Biology,"Blackwell Publishing Ltd; Oxford, UK",16
"Sports Medicine (Auckland, N.z.)",Springer International Publishing; Cham,16
BMC Ophthalmology,BioMed Central; London,16
Journal of Clinical Immunology,Springer US; New York,16
"Arthritis & Rheumatology (Hoboken, N.j.)","Wiley Periodicals, Inc.; Boston, USA",16
Nature Cancer,Nature Publishing Group US; New York,16
Computational Psychiatry,Ubiquity Press,16
BJPsych Open,"Cambridge University Press; Cambridge, UK",16
Journal of Mammalogy,Oxford University Press; US,16
Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,16
"Parasites, Hosts and Diseases",The Korean Society for Parasitology and Tropical Medicine,16
China CDC Weekly,"Editorial Office of CCDCW, Chinese Center for Disease Control and Prevention; Beijing, China",16
BMJ Open Diabetes Research & Care,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",16
"Journal of Health, Population, and Nutrition",BioMed Central; London,16
"Genes, Brain, and Behavior","Blackwell Publishing Ltd; Oxford, UK",16
Genomics,Academic Press,16
Journal of Cellular Physiology,John Wiley and Sons Inc.; Hoboken,16
Comprehensive Psychoneuroendocrinology,Elsevier,16
International Journal of Molecular and Cellular Medicine,"Babol University of Medical Sciences; Babol, Iran",16
Journal of Chemical Ecology,Springer US; New York,16
BMJ Global Health,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",16
Neural Development,BioMed Central,16
BMC Proceedings,BioMed Central,16
Journal of Clinical Bioinformatics,BioMed Central,16
Endocrine-Related Cancer,Bioscientifica Ltd; Bristol,16
Journal of Radiation Research,Oxford University Press,16
Methods in Ecology and Evolution,John Wiley and Sons Inc.; Hoboken,16
JNCI Journal of the National Cancer Institute,Oxford University Press; US,16
Carcinogenesis,Oxford University Press; UK,16
Journal of Global Health,Edinburgh University Global Health Society,16
Journal of Cerebral Blood Flow & Metabolism,"SAGE Publications; Sage UK: London, England",16
CBE Life Sciences Education,American Society for Cell Biology,16
Nicotine & Tobacco Research,Oxford University Press; US,16
FASEB BioAdvances,John Wiley and Sons Inc.; Hoboken,15
Oecologia,Springer Berlin Heidelberg; Berlin/Heidelberg,15
Bioengineering & Translational Medicine,"John Wiley & Sons, Inc.; Hoboken, USA",15
International Journal of Methods in Psychiatric Research,John Wiley and Sons Inc.; Hoboken,15
Pathology and Oncology Research,Frontiers Media S.A.,15
Journal of Orthopaedic Translation,Chinese Speaking Orthopaedic Society,15
The Cell Surface,Elsevier,15
Current Issues in Personality Psychology,Termedia Publishing House,15
Thoracic Cancer,"John Wiley & Sons Australia, Ltd; Melbourne",15
Developmental biology,,15
JCO Precision Oncology,Wolters Kluwer Health,15
Neurotherapeutics,Elsevier,15
Clinical Pharmacology and Therapeutics,John Wiley and Sons Inc.; Hoboken,15
Insect Science,John Wiley and Sons Inc.; Hoboken,15
Immune Network,The Korean Association of Immunologists,15
"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",Dove,15
BMC Pharmacology & Toxicology,BioMed Central; London,15
Function,Oxford University Press,15
Population Health Metrics,BioMed Central; London,15
Journal of Leukocyte Biology,Oxford University Press; US,15
Neurobiology of Aging,Elsevier,15
Insect Molecular Biology,"BlackWell Publishing Ltd; Oxford, UK",15
Neural Plasticity,Hindawi Publishing Corporation,15
Antioxidants & Redox Signaling,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",15
Journal of Experimental Psychology. General,American Psychological Association,15
Plant-Environment Interactions,John Wiley and Sons Inc.; Hoboken,15
Microarrays,MDPI,15
"AIDS (London, England)",Lippincott Williams & Wilkins,15
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",The Royal Society Publishing,15
Journal of Mammary Gland Biology and Neoplasia,Springer US; New York,15
Cellular Oncology (Dordrecht),Springer Netherlands; Dordrecht,15
Frontiers in plant science,Frontiers Research Foundation,15
The Journal of Comparative Neurology,John Wiley and Sons Inc.; Hoboken,14
Developmental Dynamics,"John Wiley & Sons, Inc.; Hoboken, USA",14
NPJ Science of Food,Nature Publishing Group UK; London,14
Protoplasma,Springer Vienna; Vienna,14
Fish Physiology and Biochemistry,Springer Netherlands; Dordrecht,14
JMIR mHealth and uHealth,"JMIR Publications; Toronto, Canada",14
Public Health Nutrition,"Cambridge University Press; Cambridge, UK",14
Pilot and Feasibility Studies,BioMed Central; London,14
The American Journal of Clinical Nutrition,American Society for Nutrition,14
Annals of Behavioral Medicine: A Publication of the Society of Behavioral Medicine,Oxford University Press; US,14
"Hepatology (Baltimore, Md.)","Lippincott Williams & Wilkins; Hagerstown, MD",14
Journal of Molecular and Cellular Cardiology Plus,Elsevier,14
Gastro Hep Advances,Elsevier,14
Avicenna Journal of Medical Biotechnology,Avicenna Research Institute,14
Pathogens and Disease,Oxford University Press,14
Advanced Biomedical Research,Wolters Kluwer - Medknow; India,14
Neurobiology of disease,,14
Annals of the New York Academy of Sciences,John Wiley and Sons Inc.; Hoboken,14
Archives of Public Health,BioMed Central; London,14
Animal Cells and Systems,Taylor & Francis,14
Communicative & Integrative Biology,Taylor & Francis,14
Journal of Dental Research,"SAGE Publications; Sage CA: Los Angeles, CA",14
"Science (New York, N.Y.)",,14
BMC Physiology,BioMed Central,14
Journal of Proteomics,Elsevier,14
"Infection, Genetics and Evolution",Elsevier Science,14
"Protein Engineering, Design and Selection",Oxford University Press,14
Enzyme Research,Hindawi Publishing Corporation,14
Developmental Biology,Elsevier,14
Journal of Structural and Functional Genomics,Springer Netherlands; Dordrecht,14
Aquatic Biosystems,BioMed Central,14
Source Code for Biology and Medicine,BioMed Central,14
"Yeast (Chichester, England)","BlackWell Publishing Ltd; Oxford, UK",14
Immunology,"Blackwell Science Inc; Oxford, UK",14
Genes & Genomics,The Genetics Society of Korea; Seoul,14
European Journal of Epidemiology,Springer Netherlands; Dordrecht,14
International Journal of Endocrinology,Hindawi Publishing Corporation,14
Journal of Neurodevelopmental Disorders,BioMed Central; London,14
Journal of the American Society for Mass Spectrometry,Springer US; New York,14
Marine Biology,Springer Berlin Heidelberg; Berlin/Heidelberg,14
"The Journal of Nutrition, Health & Aging",Elsevier,14
Development Genes and Evolution,Springer Berlin Heidelberg; Berlin/Heidelberg,14
JMM Case Reports,Microbiology Society,14
American Journal of Physiology - Heart and Circulatory Physiology,"American Physiological Society; Bethesda, MD",14
PPAR Research,Hindawi,14
ecancermedicalscience,Cancer Intelligence,14
Food Science of Animal Resources,Korean Society for Food Science of Animal Resources,14
Nature Chemistry,Nature Publishing Group UK; London,14
Zoonoses and Public Health,John Wiley and Sons Inc.; Hoboken,14
NIHR Open Research,"F1000 Research Limited; London, UK",14
Turkish Journal of Chemistry,Scientific and Technological Research Council of Turkey (TUBITAK),14
iMeta,John Wiley and Sons Inc.; Hoboken,14
Forensic Science International: Synergy,Elsevier,14
IMA Fungus : The Global Mycological Journal,Nationaal Herbarium Nederland & Centraallbureau voor Schimmelcultures,14
Frontiers in Reproductive Health,Frontiers Media S.A.,14
