journal,publisher,count
Bone Reports,Elsevier,11
Research on Child and Adolescent Psychopathology,Springer US; New York,11
JAAD International,Elsevier,11
Journal of Psycholinguistic Research,Springer US; New York,11
Frontiers in Ophthalmology,Frontiers Media S.A.,11
Plant Biotechnology,"Japanese Society for Plant Biotechnology; c/o Academy Center, Yamabukicho 358-5, Shinjuku-ku, Tokyo 162-0801, Japan",11
Frontiers in Epidemiology,Frontiers Media S.A.,11
Frontiers in Global Women's Health,Frontiers Media S.A.,11
Life Medicine,Oxford University Press; UK,11
Journal of Xenobiotics,MDPI,10
Advanced Genetics,John Wiley and Sons Inc.; Hoboken,10
American Journal of Primatology,John Wiley and Sons Inc.; Hoboken,10
Journal of NeuroEngineering and Rehabilitation,BioMed Central; London,10
Veterinary Record Open,John Wiley and Sons Inc.; Hoboken,10
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,Oxford University Press; US,10
Archives Animal Breeding,Copernicus GmbH,10
Angiogenesis,Springer Netherlands; Dordrecht,10
JMIR Medical Informatics,"JMIR Publications; Toronto, Canada",10
Interface Focus,The Royal Society,10
Applied Biochemistry and Biotechnology,Springer US; New York,10
Tropical Animal Health and Production,Springer Netherlands; Dordrecht,10
Intensive Care Medicine Experimental,Springer International Publishing; Cham,10
Pediatric Research,Nature Publishing Group US; New York,10
Sleep,Oxford University Press; US,10
Brazilian Journal of Otorhinolaryngology,Elsevier,10
"Journal of Speech, Language, and Hearing Research : JSLHR",American Speech-Language-Hearing Association,10
Cancer cell,,10
Plant Communications,Elsevier,10
Sexual Medicine,Oxford University Press,10
Environmental Science,RSC,10
Journal of Arthropod-Borne Diseases,Tehran University of Medical Sciences,10
The Lancet. Public Health,"Elsevier, Ltd",10
"Clinical Science (London, England : 1979)",Portland Press Ltd.,10
BMJ Open Respiratory Research,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",10
Journal of Microbiology & Biology Education,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",10
"Clinical Ophthalmology (Auckland, N.Z.)",Dove,10
Nature Cardiovascular Research,Nature Publishing Group UK; London,10
Advanced Healthcare Materials,John Wiley and Sons Inc.; Hoboken,10
Burns & Trauma,Oxford University Press,10
Nature Aging,Nature Publishing Group US; New York,10
European Journal of Pediatrics,Springer Berlin Heidelberg; Berlin/Heidelberg,10
International Journal of Psychology,"John Wiley & Sons, Ltd.; Oxford, UK",10
Iubmb Life,"John Wiley & Sons, Inc.; Hoboken, USA",10
"Allergy, Asthma & Immunology Research","The Korean Academy of Asthma, Allergy and Clinical Immunology; The Korean Academy of Pediatric Allergy and Respiratory Disease",10
Eating and Weight Disorders,Springer International Publishing; Cham,10
Pulmonary Circulation,John Wiley and Sons Inc.; Hoboken,10
BioImpacts : BI,Tabriz University of Medical Sciences (TUOMS Publishing Group),10
MDM Policy & Practice,"SAGE Publications; Sage CA: Los Angeles, CA",10
Clinical Psychological Science,"SAGE Publications; Sage CA: Los Angeles, CA",10
QRB Discovery,"Cambridge University Press; Cambridge, UK",10
Environmental and Molecular Mutagenesis,"John Wiley & Sons, Inc.; Hoboken, USA",10
Hereditary Cancer in Clinical Practice,BioMed Central,10
Cell Regeneration,BioMed Central; London,10
Journal of Interpersonal Violence,"SAGE Publications; Sage CA: Los Angeles, CA",10
European Biophysics Journal,Springer Berlin Heidelberg; Berlin/Heidelberg,10
Plant Molecular Biology Reporter,Springer US; Boston,10
Prevention Science,Springer US; New York,10
Journal of Pathogens,Hindawi Publishing Corporation,10
Briefings in Functional Genomics,Oxford University Press,10
Journal of Biomedical Research,Editorial Department of Journal of Biomedical Research,10
Biochemical Genetics,Springer US; New York,10
Journal of molecular biology,,10
Gastroenterology,W.B. Saunders,10
JNCI Cancer Spectrum,Oxford University Press,10
Epidemiology and Psychiatric Sciences,"Cambridge University Press; Cambridge, UK",10
Epidemiology and Health,Korean Society of Epidemiology,10
"Journal of Inflammation (London, England)",BioMed Central; London,10
Neurochemical Research,Springer US; New York,10
The CRISPR Journal,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",10
Bioscience,Oxford University Press,10
Gene Regulation and Systems Biology,"SAGE Publications; Sage UK: London, England",10
Group Processes & Intergroup Relations,"SAGE Publications; Sage UK: London, England",10
Journal of Cancer Prevention,Korean Society of Cancer Prevention,10
Plant Phenomics,AAAS,10
The Open Virology Journal,Bentham Open,10
Acta Crystallographica Section F,International Union of Crystallography,10
Fish and Shellfish Immunology Reports,Elsevier,10
Forestry Research,Maximum Academic Press; USA,10
aBIOTECH,Springer Nature Singapore; Singapore,9
Journal of Biochemistry,Oxford University Press,9
International Journal of Nursing Studies Advances,Elsevier,9
Statistics in Medicine,"John Wiley & Sons, Inc.; Hoboken, USA",9
Science translational medicine,,9
BMJ Open Science,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",9
Engineering in Life Sciences,John Wiley and Sons Inc.; Hoboken,9
Tissue Barriers,Taylor & Francis,9
International Journal of Public Health,Frontiers Media S.A.,9
Journal of Clinical Oncology,Wolters Kluwer Health,9
Journal of Social and Personal Relationships,"SAGE Publications; Sage UK: London, England",9
Cellular and Molecular Neurobiology,Springer US; New York,9
One Health Outlook,BioMed Central; London,9
Saudi Medical Journal,Saudi Medical Journal,9
Ambio,Springer Netherlands; Dordrecht,9
Cognitive Processing,Springer Berlin Heidelberg; Berlin/Heidelberg,9
"Psicologia, Reflexão e Crítica : revista semestral do Departamento de Psicologia da UFRGS",Springer International Publishing; Cham,9
The Journal of Clinical Hypertension,John Wiley and Sons Inc.; Hoboken,9
European Journal of Sport Science,John Wiley and Sons Inc.; Hoboken,9
Psychology Research and Behavior Management,Dove,9
CMAJ : Canadian Medical Association Journal,CMA Impact Inc.,9
Journal of Materials Chemistry. C,The Royal Society of Chemistry,9
Journal of Atherosclerosis and Thrombosis,Japan Atherosclerosis Society,9
British Journal of Health Psychology,John Wiley and Sons Inc.; Hoboken,9
Journal of Ayurveda and Integrative Medicine,Elsevier,9
Journal of Hepatocellular Carcinoma,Dove,9
"Proceedings of the Japan Academy. Series B, Physical and Biological Sciences","The Japan Academy; Tokyo, Japan",9
Breast Cancer : Targets and Therapy,Dove,9
Experimental Dermatology,John Wiley and Sons Inc.; Hoboken,9
Contemporary Clinical Trials Communications,Elsevier,9
Faraday Discussions,The Royal Society of Chemistry,9
Cancer Control : Journal of the Moffitt Cancer Center,"SAGE Publications; Sage CA: Los Angeles, CA",9
"European Journal of Pain (London, England)",John Wiley and Sons Inc.; Hoboken,9
British Journal of Haematology,John Wiley and Sons Inc.; Hoboken,9
Aggressive Behavior,John Wiley and Sons Inc.; Hoboken,9
American Journal of Preventive Cardiology,Elsevier,9
Movement Disorders,"John Wiley & Sons, Inc.; Hoboken, USA",9
Current Research in Immunology,Elsevier,9
Journal of Inherited Metabolic Disease,"John Wiley & Sons, Inc.; Hoboken, USA",9
"Chemistry, an Asian Journal",John Wiley and Sons Inc.; Hoboken,9
Biotechnology Research International,Hindawi Publishing Corporation,9
"Journal of Public Health (Oxford, England)",Oxford University Press,9
Pflugers Archiv,Springer Berlin Heidelberg; Berlin/Heidelberg,9
Molecular Breeding,Springer Netherlands; Dordrecht,9
Molecular Immunology,Pergamon Press,9
Clinical Microbiology and Infection,"BlackWell Publishing Ltd; Oxford, UK",9
Oncoscience,Impact Journals LLC,9
Movement Ecology,BioMed Central; London,9
Journal of Biological Research,BioMed Central; London,9
Case Reports in Infectious Diseases,Hindawi Publishing Corporation,9
Neurogenetics,Springer Berlin Heidelberg; Berlin/Heidelberg,9
Journal of Ethnobiology and Ethnomedicine,BioMed Central; London,9
Molecular and Biochemical Parasitology,Elsevier/North-Holland Biomedical Press,9
Scientia Pharmaceutica,The Austrian Journal of Pharmaceutical Sciences; Austria,9
Vector Borne and Zoonotic Diseases,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",9
Behavior Genetics,Springer US; New York,9
Immunology and Cell Biology,John Wiley and Sons Inc.; Hoboken,9
Molecular Phylogenetics and Evolution,Academic Press,9
Foodborne Pathogens and Disease,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",9
BioMedical Engineering OnLine,BioMed Central; London,9
Integrative and Comparative Biology,Oxford University Press,9
Medical Microbiology and Immunology,Springer Berlin Heidelberg; Berlin/Heidelberg,9
Mucosal Immunology,Nature Publishing Group US; New York,9
Sexually Transmitted Infections,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",9
Biological Reviews of the Cambridge Philosophical Society,"Blackwell Publishing Ltd; Oxford, UK",9
Molecular Biotechnology,Springer US; New York,9
Transfusion,"John Wiley & Sons, Inc.; Hoboken, USA",9
Antimicrobial Stewardship & Healthcare Epidemiology : ASHE,"Cambridge University Press; New York, USA",9
Empirical Software Engineering,Springer US; New York,9
Quantitative Plant Biology,"Cambridge University Press; Cambridge, UK",9
Oncology Research,Tech Science Press; USA,9
Infectious Disease Reports,MDPI,9
Microbiome Research Reports,OAE Publishing Inc.,9
Biological Imaging,"Cambridge University Press; Cambridge, UK",9
Breast Cancer Research,BioMed Central; London,9
CNS Drugs,Springer International Publishing; Cham,9
Biomarker Insights,"SAGE Publications; Sage UK: London, England",9
Imaging Neuroscience,"MIT Press; One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA journals-info@mit.edu",9
Innate Immunity,"SAGE Publications; Sage UK: London, England",9
Journal of Global Antimicrobial Resistance,Published by Elsevier Ltd. on behalf of International Society of Chemotherapy for Infection and Cancer,8
Military Medical Research,BioMed Central; London,8
Molecular Informatics,John Wiley and Sons Inc.; Hoboken,8
Journal of Gastroenterology,Springer Nature Singapore; Singapore,8
Limnology and Oceanography,"John Wiley & Sons, Inc.; Hoboken, USA",8
Health Expectations : An International Journal of Public Participation in Health Care and Health Policy,John Wiley and Sons Inc.; Hoboken,8
JAMA Oncology,American Medical Association,8
Reproductive Medicine and Biology,John Wiley and Sons Inc.; Hoboken,8
The Lancet. Psychiatry,Elsevier,8
Child and Adolescent Psychiatry and Mental Health,BioMed Central; London,8
EJNMMI Research,Springer Berlin Heidelberg; Berlin/Heidelberg,8
Journal of Computational Chemistry,"John Wiley & Sons, Inc.; Hoboken, USA",8
Journal of Cardiovascular Development and Disease,MDPI,8
IBRO Neuroscience Reports,Elsevier,8
"Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology",Springer Berlin Heidelberg; Berlin/Heidelberg,8
European Journal of Endocrinology,Oxford University Press; UK,8
Clinical and Experimental Immunology,Oxford University Press; US,8
Neuropsychologia,Pergamon Press,8
Public Health in Practice,Elsevier,8
European Journal of Gastroenterology & Hepatology,Lippincott Williams And Wilkins,8
International Journal of Health Sciences,Qassim Uninversity; Saudi Arabia,8
Journal of Neuromuscular Diseases,"IOS Press; Nieuwe Hemweg 6B, 1013 BG Amsterdam, The Netherlands",8
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,Elsevier,8
Chemical Senses,Oxford University Press; UK,8
Journal of Family Medicine and Primary Care,Wolters Kluwer - Medknow; India,8
Clinical Epidemiology,Dove,8
Ear and Hearing,"Lippincott Williams & Wilkins; Hagerstown, MD",8
Tzu-Chi Medical Journal,Wolters Kluwer - Medknow; India,8
Tumour Virus Research,Elsevier,8
The Journal of Nutrition,American Society for Nutrition,8
OncoTargets and Therapy,Dove,8
"Public Understanding of Science (Bristol, England)","SAGE Publications; Sage UK: London, England",8
JOR Spine,"John Wiley & Sons, Inc.; Hoboken, USA",8
Skin Research and Technology,John Wiley and Sons Inc.; Hoboken,8
Medical Decision Making,"SAGE Publications; Sage CA: Los Angeles, CA",8
npj Biodiversity,Nature Publishing Group UK; London,8
Journal of Clinical and Translational Hepatology,XIA & HE Publishing Inc.,8
Journal of Biological Rhythms,"SAGE Publications; Sage CA: Los Angeles, CA",8
"BMC Sports Science, Medicine and Rehabilitation",BioMed Central; London,8
Communications Earth & Environment,Nature Publishing Group UK; London,8
Journal of Internal Medicine,John Wiley and Sons Inc.; Hoboken,8
Thrombosis and Haemostasis,"Georg Thieme Verlag KG; Rüdigerstraße 14, 70469 Stuttgart, Germany",8
BMJ Public Health,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",8
Clinical and Experimental Medicine,Springer International Publishing; Cham,8
BMC Medical Imaging,BioMed Central; London,8
Translational Pediatrics,AME Publishing Company,8
"Obesity (Silver Spring, Md.)",John Wiley and Sons Inc.; Hoboken,8
Nephrology Dialysis Transplantation,Oxford University Press,8
IET Systems Biology,John Wiley and Sons Inc.; Hoboken,8
Innovation in Aging,Oxford University Press; US,8
"European Journal of Investigation in Health, Psychology and Education",MDPI,8
Biosafety and Health,Elsevier,8
CPT: Pharmacometrics & Systems Pharmacology,John Wiley and Sons Inc.; Hoboken,8
Journal of Research in Medical Sciences : The Official Journal of Isfahan University of Medical Sciences,Wolters Kluwer - Medknow; India,8
"Tuberculosis (Edinburgh, Scotland)",Churchill Livingstone,8
Cell host & microbe,,8
Antiviral Research,Elsevier,8
Stem cell research,,8
International Journal of Evolutionary Biology,Hindawi Publishing Corporation,8
Osteoarthritis and Cartilage,W.B. Saunders For The Osteoarthritis Research Society,8
Ticks and Tick-Borne Diseases,Elsevier,8
Zoological letters,BioMed Central; London,8
Journal of Ophthalmology,Hindawi Publishing Corporation,8
Frontiers in Health Services,Frontiers Media S.A.,8
Journal of Applied Oral Science,Faculdade De Odontologia De Bauru - USP,8
Plant Reproduction,Springer Berlin Heidelberg; Berlin/Heidelberg,8
OMICS : a Journal of Integrative Biology,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",8
The Protein Journal,Springer US; New York,8
"Human Nature (Hawthorne, N.y.)",Springer US; New York,8
Microbial Drug Resistance,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",8
Ecohealth,Springer US; New York,8
Clinical and Experimental Dental Research,John Wiley and Sons Inc.; Hoboken,8
Apoptosis,Springer US; New York,8
Astrobiology,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",8
The Pharmacogenomics Journal,Nature Publishing Group UK; London,8
Maternal & Child Nutrition,John Wiley and Sons Inc.; Hoboken,8
Pathogens and Immunity,Pathogens and Immunity,8
Clinical Cardiology,"Wiley Periodicals, Inc.; New York",8
Pigment Cell & Melanoma Research,John Wiley and Sons Inc.; Hoboken,8
The Journal of Antibiotics,Nature Publishing Group UK; London,8
ASN NEURO,"SAGE Publications; Sage CA: Los Angeles, CA",8
Appetite,Academic Press,8
Tobacco Induced Diseases,BioMed Central; London,8
American Journal of Medical Genetics. Part a,"John Wiley & Sons, Inc.; Hoboken, USA",8
Fly,Taylor & Francis,8
Current Research in Toxicology,Elsevier,8
European Journal of Applied Physiology,Springer Berlin Heidelberg; Berlin/Heidelberg,8
Metallomics: Integrated Biometal Science,Oxford University Press,8
Nature Nanotechnology,Nature Publishing Group UK; London,8
Neuropsychology Review,Springer US; New York,8
"Imaging Neuroscience (Cambridge, Mass.)","MIT Press; One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA journals-info@mit.edu",8
mLife,John Wiley and Sons Inc.; Hoboken,8
Immunome Research,BioMed Central; London,8
Saline Systems,BioMed Central,8
Molecular and Clinical Oncology,D.A. Spandidos,8
Cancer Drug Resistance,OAE Publishing Inc.,8
International Journal of Cancer. Journal International du Cancer,"BlackWell Publishing Ltd; Oxford, UK",8
Parasite : journal de la Société Française de Parasitologie,EDP Sciences,8
Current Research in Neurobiology,Elsevier,8
Journal of Economic Entomology,Oxford University Press; US,7
Journal of the International Society of Sports Nutrition,Routledge,7
"Journal of Veterinary Diagnostic Investigation : Official Publication of the American Association of Veterinary Laboratory Diagnosticians, Inc","SAGE Publications; Sage CA: Los Angeles, CA",7
Genes and Immunity,Nature Publishing Group UK; London,7
Topics in Cognitive Science,John Wiley and Sons Inc.; Hoboken,7
The British Journal of Clinical Psychology,John Wiley and Sons Inc.; Hoboken,7
Canadian Journal of Gastroenterology & Hepatology,Hindawi,7
Geobiology,John Wiley and Sons Inc.; Hoboken,7
Journal of Viral Hepatitis,John Wiley and Sons Inc.; Hoboken,7
"Traffic (Copenhagen, Denmark)",John Wiley & Sons A/S; Former Munksgaard,7
Environmental Toxicology and Chemistry,John Wiley and Sons Inc.; Hoboken,7
Journal of Morphology,John Wiley and Sons Inc.; Hoboken,7
Annals of Biomedical Engineering,Springer International Publishing; Cham,7
Journal of Applied Clinical Medical Physics,John Wiley and Sons Inc.; Hoboken,7
BMC Global and Public Health,BioMed Central; London,7
The Journal of Membrane Biology,Springer US; New York,7
Western Pacific Surveillance and Response Journal : WPSAR,World Health Organization,7
Journal of Computational Biology,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",7
Virchows Archiv,Springer Berlin Heidelberg; Berlin/Heidelberg,7
Gastric Cancer,Springer Nature Singapore; Singapore,7
Diagnostic and Prognostic Research,BioMed Central; London,7
Genetica,Springer International Publishing; Cham,7
General Psychiatry,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",7
Cell chemical biology,,7
"Med (New York, N.y.)",Cell Press,7
Rapid Communications in Mass Spectrometry,John Wiley and Sons Inc.; Hoboken,7
Journal of Psychiatry & Neuroscience : JPN,CMA Impact Inc.,7
Cancer Biomarkers,"IOS Press; Nieuwe Hemweg 6B, 1013 BG Amsterdam, The Netherlands",7
Kidney360,American Society of Nephrology,7
"Cancer Prevention Research (Philadelphia, Pa.)",American Association for Cancer Research,7
Cancer Innovation,John Wiley and Sons Inc.; Hoboken,7
"Diabetes, Metabolic Syndrome and Obesity",Dove,7
The Journal of Allergy and Clinical Immunology: Global,Elsevier,7
International Journal of Immunopathology and Pharmacology,"SAGE Publications; Sage UK: London, England",7
Cancer Genomics & Proteomics,International Institute of Anticancer Research,7
Language and Speech,"SAGE Publications; Sage UK: London, England",7
VideoGIE,Elsevier,7
European Heart Journal. Digital Health,Oxford University Press; UK,7
The Application of Clinical Genetics,Dove,7
"Development, Growth & Differentiation",John Wiley and Sons Inc.; Hoboken,7
Critical Care Explorations,"Lippincott Williams & Wilkins; Hagerstown, MD",7
"Journal of Experimental Psychology. Learning, Memory, and Cognition",American Psychological Association,7
Learning & Behavior,Springer US; New York,7
International Journal of Cardiology. Heart & Vasculature,Elsevier,7
Behavioral and Brain Functions : BBF,BioMed Central; London,7
Osong Public Health and Research Perspectives,Korea Disease Control and Prevention Agency,7
Evolution & Development,John Wiley and Sons Inc.; Hoboken,7
Current Protocols,John Wiley and Sons Inc.; Hoboken,7
Biogerontology,Springer Netherlands; Dordrecht,7
"Plant Biology (Stuttgart, Germany)",John Wiley and Sons Inc.; Hoboken,7
Therapeutic Advances in Chronic Disease,"SAGE Publications; Sage UK: London, England",7
Circulation. Heart Failure,"Lippincott Williams & Wilkins; Hagerstown, MD",7
International Journal of Medical Microbiology,Urban & Fischer Verlag,7
Journal of Clinical Periodontology,"Blackwell Publishing Ltd; Oxford, UK",7
Journal of Tissue Engineering,"SAGE Publications; Sage UK: London, England",7
European Eating Disorders Review,John Wiley and Sons Inc.; Hoboken,7
Clinical and Experimental Vaccine Research,Korean Vaccine Society; Korean Society for Zoonoses,7
Apmis,John Wiley and Sons Inc.; Hoboken,7
Gene,Elsevier/North-Holland,7
Advances in Therapy,Springer Healthcare; Cheshire,7
American Journal of Biological Anthropology,"John Wiley & Sons, Inc.; Hoboken, USA",7
Molecular Oral Microbiology,John Wiley and Sons Inc.; Hoboken,7
BMJ Mental Health,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",7
Clinical proteomics,Springer,7
Genetics Research International,Hindawi Publishing Corporation,7
Irish Veterinary Journal,BioMed Central,7
"Symbiosis (Philadelphia, Pa.)",Springer Netherlands; Dordrecht,7
Fungal Genetics and Biology,Academic Press,7
"Methods (San Diego, Calif.)",Academic Press,7
"Water, Air, and Soil Pollution",Springer International Publishing; Cham,7
Genetic Epidemiology,"BlackWell Publishing Ltd; Oxford, UK",7
BMC Biophysics,BioMed Central; London,7
Zeitschrift Fur Anorganische Und Allgemeine Chemie,WILEY-VCH Verlag; Weinheim,7
Transgenic Research,Springer International Publishing; Cham,7
Journal of Molecular Endocrinology,Bioscientifica Ltd; Bristol,7
Biopreservation and Biobanking,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",7
Canine Genetics and Epidemiology,BioMed Central; London,7
Autism Research,"John Wiley & Sons, Inc.; Hoboken, USA",7
EURASIP Journal on Bioinformatics and Systems Biology,Springer International Publishing; Cham,7
Journal of Applied Phycology,Springer Netherlands; Dordrecht,7
Einstein,Instituto Israelita de Ensino e Pesquisa Albert Einstein; Sao Paulo,7
Journal of Plankton Research,Oxford University Press,7
Molecular Pharmacology,"The American Society for Pharmacology and Experimental Therapeutics; Bethesda, MD",7
Clinical Oral Investigations,Springer Berlin Heidelberg; Berlin/Heidelberg,7
Laboratory Investigation; a Journal of Technical Methods and Pathology,Nature Publishing Group US; New York,7
Brain Imaging and Behavior,Springer US; New York,7
Brain Topography,Springer US; New York,7
Plant and Soil,Springer International Publishing; Cham,7
APL Bioengineering,AIP Publishing LLC,7
The Science of the Total Environment,Elsevier,7
Journal of Clinical and Translational Science,"Cambridge University Press; Cambridge, UK",7
"Ecotoxicology (London, England)",Springer US; New York,7
Research Synthesis Methods,John Wiley and Sons Inc.; Hoboken,7
Implementation Science : IS,BioMed Central; London,7
Biological Psychiatry,Elsevier,7
Forensic Sciences Research,Taylor & Francis,7
Nature genetics,,7
Motivation and Emotion,Springer US; New York,7
Journal of Educational Evaluation for Health Professions,Korea Health Personnel Licensing Examination Institute,7
Journal of Cannabis Research,BioMed Central; London,7
Health Psychology Open,"SAGE Publications; Sage UK: London, England",7
Educational and Psychological Measurement,"SAGE Publications; Sage CA: Los Angeles, CA",7
Cytometry,"John Wiley & Sons, Inc.; Hoboken, USA",7
Experimental Physiology,John Wiley and Sons Inc.; Hoboken,7
EuPA Open Proteomics,Elsevier,7
Pharmacological Reports,Springer International Publishing; Cham,7
Stem Cell Reviews and Reports,Springer US; New York,7
The Turkish Journal of Gastroenterology,Turkish Society of Gastroenterology,7
Infancy,John Wiley and Sons Inc.; Hoboken,7
Clinical Psychology in Europe,PsychOpen,7
Annals of Global Health,Ubiquity Press,7
Insights into Imaging,Springer International Publishing; Cham,7
Journal of Epidemiology and Community Health,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",7
Naunyn-Schmiedeberg's Archives of Pharmacology,Springer Berlin Heidelberg; Berlin/Heidelberg,7
Biomimetics,MDPI,7
Exploration of Targeted Anti-tumor Therapy,Open Exploration Publishing,7
Chem,Elsevier,7
Therapeutic Advances in Musculoskeletal Disease,"SAGE Publications; Sage UK: London, England",7
International Endodontic Journal,John Wiley and Sons Inc.; Hoboken,7
Blood,"American Society of Hematology; Washington, DC",7
Mobile Genetic Elements,Landes Bioscience,7
"Journal of Natural Science, Biology, and Medicine",Medknow Publications & Media Pvt Ltd; India,7
Diabetes,American Diabetes Association,7
Environmental Evidence,BioMed Central; London,7
Depression and Anxiety,Wiley,7
Pharmacognosy Magazine,Medknow Publications & Media Pvt Ltd; India,7
Bulletin of the World Health Organization,World Health Organization,6
Annals of Hematology,Springer Berlin Heidelberg; Berlin/Heidelberg,6
Annals of Surgical Oncology,Springer International Publishing; Cham,6
Journal of Human Genetics,Springer Nature Singapore; Singapore,6
European Journal of Neurology,John Wiley and Sons Inc.; Hoboken,6
Nursing Open,John Wiley and Sons Inc.; Hoboken,6
Journal of Applied Gerontology,"SAGE Publications; Sage CA: Los Angeles, CA",6
Natural Product Reports,The Royal Society of Chemistry,6
Physics and Imaging in Radiation Oncology,Elsevier,6
Neurological Sciences,Springer International Publishing; Cham,6
Journal of Forensic Sciences,John Wiley and Sons Inc.; Hoboken,6
Global Health Research and Policy,BioMed Central; London,6
Biomaterials Research,BioMed Central; London,6
Pharmaceutical Research,Springer US; New York,6
"Cerebellum (London, England)",Springer US; New York,6
"Structure (London, England : 1993)",,6
Journal of Natural Medicines,Springer Nature Singapore; Singapore,6
JMIR Serious Games,"JMIR Publications; Toronto, Canada",6
Reproductive biology and endocrinology : RB&E,BioMed Central; London,6
Journal of Biology,BioMed Central; London,6
World Journal of Diabetes,Baishideng Publishing Group Inc,6
International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,6
Journal of Pest Science,Springer Berlin Heidelberg; Berlin/Heidelberg,6
Epidemics,Elsevier,6
Journal of Traditional and Complementary Medicine,Elsevier,6
Journal of Education and Health Promotion,Wolters Kluwer - Medknow; India,6
Europace,Oxford University Press; UK,6
ImmunoTargets and Therapy,Dove,6
Nanoscale Horizons,The Royal Society of Chemistry,6
Mediterranean Journal of Hematology and Infectious Diseases,Università Cattolica del Sacro Cuore,6
"Brain, behavior, and immunity",,6
BBA Advances,Elsevier,6
Environmental Entomology,Oxford University Press; US,6
Melanoma Research,Lippincott Williams & Wilkins,6
Stem Cells,Oxford University Press; US,6
Dose-Response,"SAGE Publications; Sage CA: Los Angeles, CA",6
Annals of Dermatology,The Korean Dermatological Association; The Korean Society for Investigative Dermatology,6
Clinical and Translational Radiation Oncology,Elsevier,6
"Diabetes, Obesity & Metabolism","Blackwell Publishing Ltd; Oxford, UK",6
Adaptive Human Behavior and Physiology,Springer International Publishing; Cham,6
Eco-Environment & Health,Elsevier,6
Hippocampus,"John Wiley & Sons, Inc.; Hoboken, USA",6
Journal of Sleep Research,John Wiley and Sons Inc.; Hoboken,6
"Acta Physiologica (Oxford, England)",John Wiley and Sons Inc.; Hoboken,6
The European Journal of Orthodontics,Oxford University Press; UK,6
Chempluschem,John Wiley and Sons Inc.; Hoboken,6
EJHaem,John Wiley and Sons Inc.; Hoboken,6
BMJ Open Gastroenterology,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",6
"Journal of Neurology, Neurosurgery, and Psychiatry","BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",6
The British Journal of Mathematical and Statistical Psychology,John Wiley and Sons Inc.; Hoboken,6
"Anatomical Record (Hoboken, N.j. : 2007)","John Wiley & Sons, Inc.; Hoboken, USA",6
Insecta mundi,,6
Ticks and tick-borne diseases,,6
European Urology Open Science,Elsevier,6
Equine Veterinary Journal,John Wiley and Sons Inc.; Hoboken,6
GM Crops & Food,Taylor & Francis,6
Discover Mental Health,Springer International Publishing; Cham,6
Veterinary Pathology,"SAGE Publications; Sage CA: Los Angeles, CA",6
The Kaohsiung Journal of Medical Sciences,"Wiley Publishing Asia Pty Ltd; BP, Asia",6
RMD Open,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",6
BMJ Open Ophthalmology,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",6
Sexual Abuse,"SAGE Publications; Sage CA: Los Angeles, CA",6
Journal of Taibah University Medical Sciences,Taibah University,6
Iranian Journal of Medical Sciences,"Shiraz University of Medical Sciences; Shiraz, Iran",6
Investigative Genetics,BioMed Central,6
"Medical Oncology (Northwood, London, England)",Springer US; Boston,6
International Journal of Proteomics,Hindawi Publishing Corporation,6
Journal of Clinical Research in Pediatric Endocrinology,Galenos Publishing,6
Journal of Nucleic Acids,Hindawi Publishing Corporation,6
International Journal for Equity in Health,BioMed Central; London,6
PsyCh Journal,"John Wiley & Sons Australia, Ltd; Melbourne",6
Journal of Neuroendocrinology,John Wiley and Sons Inc.; Hoboken,6
Medical Physics,John Wiley and Sons Inc.; Hoboken,6
